nom_commune,geometry,surface_km2,nb_ecoles,ecoles_par_km2
Abidjan-Ville,"MULTIPOLYGON (((405292.1515379132 577860.9018373238, 405234.07296023646 577860.980793673, 405234.1147546952 577891.7136545926, 404987.74355323554 577892.0491459883, 404987.78545845544 577922.7819142538, 404956.97587344225 577922.823932142, 404957.0177946289 577953.5568134458, 404833.990834712 577953.7247414434, 404834.03281270736 577984.4578529313, 404741.60432101827 577984.5841645817, 404741.6463415713 578015.3169513255, 404649.45526294626 578015.4430673732, 404649.49696567666 578045.9123059812, 404557.068404447 578046.0388760319, 404557.110511365 578076.7720082602, 404464.681749256 578076.8987079448, 404464.76605061727 578138.364433724, 404433.9565229422 578138.4066986063, 404434.0408604405 578199.872429917, 404187.77612375346 578200.2107845767, 404187.8184049429 578230.9439447753, 404064.7917112011 578231.113312088, 404064.8340484852 578261.8461498145, 403972.4054241347 578261.9735433839, 403972.44751389005 578292.4956763575, 403849.42086591665 578292.6654421852, 403849.4633027958 578323.3982960519, 403757.03493443906 578323.5259887453, 403757.0774148346 578354.2591812586, 403634.07718973624 578354.4293092366, 403634.11972623446 578385.1621792843, 403541.6913924155 578385.2901714789, 403541.7339721343 578416.023159062, 403418.36385218095 578416.1941988562, 403418.4064886354 578446.9271957104, 403295.4063277527 578447.0979492969, 403295.44902063167 578477.8308448244, 403203.02073499135 578477.9593071785, 403203.06347141357 578508.6925413727, 403080.03697938577 578508.8637304154, 403080.07977210113 578539.5967527794, 402987.6512990804 578539.7255151331, 402987.6938408802 578570.2476111836, 402864.6673940398 578570.4191991076, 402864.71028628876 578601.1521272204, 402772.2818471686 578601.2811892797, 402772.3247829819 578632.0144560963, 402526.08708462806 578632.3589064647, 402526.1301311849 578663.091970517, 402433.67543291295 578663.2215329151, 402433.71852244006 578693.9544934989, 402372.3373810145 578694.0405830395, 402372.3805000976 578724.7736589672, 402279.9522262262 578724.903402399, 402279.9955365547 578755.7419522423, 402156.7577499896 578755.9151438109, 402156.80052429676 578786.3320566177, 402033.77421273326 578786.5051777994, 402033.81748815766 578817.238168981, 401879.66481401864 578817.4554094074, 401879.7081600112 578848.1885227802, 401756.6818750849 578848.3621524756, 401756.7252775854 578879.0951646849, 401633.48766380537 578879.2693199982, 401633.5311235381 578910.0026732888, 401541.314165808 578910.1331409658, 401541.357817422 578940.971636728, 401325.929882135 578941.2769147739, 401325.9734823013 578972.0101809064, 401141.11710050906 578972.2726825458, 401141.1607845381 579003.0058521775, 400925.70623212407 579003.3124404504, 400925.7495631168 579033.7293353771, 400710.2952136881 579034.0366069687, 400710.33909281215 579064.7698093475, 400494.8846146195 579065.0777649689, 400494.92874192103 579095.9162299746, 400279.36851710617 579096.2250212159, 400279.4125917621 579126.9584775777, 400002.3655047846 579127.3563515448, 400002.4097037932 579158.089497402, 399848.3626350391 579158.3112173954, 399848.40690466133 579189.0444857229, 399694.57130326994 579189.2662537111, 399694.6156432606 579219.9995339151, 399540.7799407802 579220.2216542118, 399540.8243513066 579250.9550568932, 399448.39602375985 579251.0886830929, 399448.4404773525 579281.8219825112, 399356.01239123964 579281.9557383356, 399356.0565826547 579312.4781097963, 399109.68690293236 579312.8352589182, 399109.73151106137 579343.568584618, 398863.4675187179 579343.9264721858, 398863.5122379732 579374.6597063597, 398678.8936340186 579374.9285931645, 398678.9384377878 579405.662173364, 398494.2933430778 579405.9316035404, 398494.33823057584 579436.6649770451, 398248.0742987257 579437.025102658, 398248.1192973816 579467.7583847509, 398063.50054425595 579468.0289498318, 398063.5456271324 579498.7623569256, 397909.472300178 579498.9885440968, 397909.5174537698 579529.7220738824, 397724.89870739233 579529.9935675376, 397724.9439448973 579560.7270012792, 397540.29870699625 579560.9990389482, 397540.3437175285 579591.5215510018, 397139.92685657716 579592.1132018692, 397139.972357749 579622.8466814321, 396924.51757140446 579623.1660065829, 396924.5631704937 579653.8996136872, 396709.1349604827 579654.2195844759, 396709.18065716006 579684.9530980615, 396493.72604794597 579685.2737932418, 396493.7718423974 579716.0073239239, 396308.9149797142 579716.2830228918, 396308.96085824195 579747.0164577327, 396124.3156698535 579747.292346736, 396124.3616327029 579778.025906844, 396031.8275889964 579778.1643592494, 396031.87359556806 579808.8981480042, 395939.65664671705 579809.0362559212, 395939.7023801482 579839.5588939919, 395847.2739924367 579839.6974487179, 395847.3200851034 579870.4309208307, 395447.2467689695 579871.0321010171, 395447.2930413648 579901.7657154665, 395293.45719000127 579901.9975065866, 395293.5035332879 579932.7313545416, 395201.07511515217 579932.870791708, 395201.12150131376 579963.6043155759, 395108.69310211984 579963.7438831325, 395108.7395318279 579994.4775251443, 394924.09442863875 579994.756723796, 394924.14094256726 580025.490380683, 394770.0938094357 580025.7237007758, 394770.14007464075 580056.2466535671, 394585.38913327444 580056.5269432497, 394585.43580198125 580087.260517027, 394339.17159716296 580087.6349141533, 394339.2183775753 580118.3686183564, 394247.0280329542 580118.5090081348, 394247.0748566721 580149.2427199762, 394154.6464746767 580149.383602611, 394154.6933416414 580180.1172115377, 394062.26520003565 580180.2582243441, 394062.312110926 580210.9921725695, 394000.9045268495 580211.0859319366, 394000.95146691543 580241.8195536903, 393970.1420668803 580241.866617576, 393970.1891842198 580272.7057111467, 393908.57029328885 580272.799885084, 393908.6172796108 580303.5337358726, 393846.99862775917 580303.627969139, 393847.04507914314 580333.9926832054, 393785.4264443561 580334.0869760863, 393785.4734900488 580364.8207267085, 393693.25662962266 580364.9619526931, 393693.3037186633 580395.6957109941, 393600.8755305036 580395.8373910935, 393600.92266282055 580426.571046512, 393539.3040703371 580426.6655730084, 393539.3514755667 580457.5576585707, 393447.13478946965 580457.6992340798, 393447.18199512566 580488.4330129384, 393385.5634326095 580488.5276860541, 393385.61066789855 580519.2613595866, 393323.99179027695 580519.3560929263, 393324.0390555421 580550.0898822494, 393262.42052776314 580550.1846747962, 393262.4678231773 580580.918690441, 393201.0870355212 580581.013176669, 393201.1339541089 580611.4831926104, 393108.70593342546 580611.6255811949, 393108.7533019979 580642.3596097786, 393047.002605208 580642.4548125452, 393047.05000331654 580673.1886252505, 392985.7748798735 580673.2831541555, 392985.8223074803 580704.0168615319, 392924.0980221506 580704.1121431295, 392924.1454797989 580734.8459662986, 392862.5270509594 580734.9411443173, 392862.57453843474 580765.6749727508, 392739.3373729542 580765.8655036028, 392739.3849177541 580796.5994528123, 392616.3592234751 580796.789885262, 392616.40682516963 580827.5237341406, 392462.5719937899 580827.762176054, 392462.61933901533 580858.2850986618, 392308.57294553367 580858.5242231031, 392308.6206887816 580889.2580974953, 392123.97638364276 580889.5451849494, 392124.024211477 580920.2791851922, 391970.21564976 580920.5187169601, 391970.26354816824 580951.2526194507, 391231.15790965676 580952.4084777905, 391231.1096834143 580921.6745148395, 391108.08371453144 580921.8676653085, 391108.0354360936 580891.1335819709, 390954.2263900257 580891.3753562013, 390954.1780460929 580860.6413710475, 390769.32186811813 580860.9323848629, 390769.3702940368 580891.6663852414, 390369.27078061807 580892.2979719709, 390369.3193867257 580923.0321162217, 390153.86490659276 580923.3732017495, 390153.8162049225 580892.6390396559, 390030.4727498026 580892.8345955539, 390030.42399617244 580862.1005340621, 389999.6144337009 580862.1494130174, 389999.56600366294 580831.6262896301, 389722.4919377315 580832.066456154, 389722.4430526919 580801.3323696039, 389661.06187615084 580801.4300259057, 389661.0129662958 580770.6958239498, 389599.3940279221 580770.7939080135, 389599.345093501 580740.0598117325, 389568.5355513895 580740.1088718285, 389568.48660589004 580709.3747732637, 389506.8673757652 580709.4729295806, 389506.8184057048 580678.7389366864, 389445.19935962337 580678.8371422872, 389445.1503646526 580648.1030339762, 389168.31298127054 580648.5448969696, 389014.26485960314 580648.7912533641, 389014.2156758399 580618.0568881702, 389014.1669171277 580587.5865311209, 388983.357257828 580587.6358383388, 388983.30806557764 580556.9014711035, 388952.49850087205 580556.9507892537, 388952.40009773476 580495.482603176, 388983.209689753 580495.433290189, 388983.1605056479 580464.6991448638, 388952.35089997447 580464.7484552693, 388952.2030690787 580372.3878073484, 388921.3930872981 580372.4371242144, 388921.3438862898 580341.7029747848, 388829.1261203619 580341.8506597185, 388829.1753622338 580372.5848168817, 388767.555597062 580372.6835732493, 388767.50632788514 580341.949410915, 388736.6966493996 580341.9988066866, 388736.5986830514 580280.899403455, 388706.0003244026 580280.9484688165, 388705.9508668319 580250.1089420916, 388675.14080985944 580250.1583579319, 388675.09151039104 580219.4242994516, 388705.9015810131 580219.3748861992, 388705.85229726613 580188.640498919, 388736.4506966292 580188.5914412751, 388736.401429572 580157.8573884811, 388767.2111898398 580157.8080082069, 388767.16193885566 580127.0738477027, 388797.9718209867 580127.0244835183, 388797.9225862514 580096.2903258832, 388828.73270110454 580096.2409776095, 388828.6834827938 580065.5069333726, 388890.3031778757 580065.408283921, 388890.2543265177 580034.8848544426, 389013.2826113695 580034.6880674643, 389013.2334798387 580003.9539286844, 388982.42356131074 580004.0031868921, 388982.3744187325 579973.2690457767, 388951.56459481316 579973.3183149033, 388951.5154413659 579942.5842820379, 388920.7052687262 579942.633562791, 388920.6561037038 579911.899195943, 388890.05759787536 579911.9481490809, 388890.1559570864 579973.4165565072, 388859.34601459646 579973.4658667487, 388859.3952116562 580004.2000181774, 388797.77523533255 580004.2986850385, 388797.8244622814 580035.0328418823, 388705.6062575114 580035.1806130859, 388705.5569897226 580004.4464485, 388582.317085744 580004.6441099375, 388582.26776598336 579973.9099352403, 388520.54209583096 579974.0090125124, 388520.4927515212 579943.2749434558, 388458.87266356 579943.3739007652, 388458.5768259246 579759.1794070882, 388428.08394489763 579759.2283811151, 388428.03457805153 579728.4943061472, 388366.30866345816 579728.5934786836, 388366.35805762716 579759.3275588503, 388304.7377801973 579759.4266216165, 388304.78720443323 579790.1608177826, 388089.328096939 579790.5076449899, 388089.3776195279 579821.2420807282, 387935.3272026413 579821.4904805585, 387935.27761185373 579790.7560318006, 387750.62818430795 579791.0542057867, 387750.5785147586 579760.3199627933, 387719.76838060323 579760.3697605082, 387719.81806379155 579791.104006112, 387658.4090557138 579791.2033061057, 387658.359345341 579760.4690552971, 387627.54931418475 579760.5188937557, 387627.5990381964 579791.2531471768, 387535.16874823184 579791.402752787, 387535.1189833032 579760.6684915243, 387381.2793249345 579760.9177525628, 387381.3291579648 579791.6520268914, 387288.8988051098 579791.8019603732, 387288.8489311624 579761.0676781859, 387135.06214454555 579761.3173988186, 387135.01220533974 579730.5832143481, 386980.80269145255 579730.8339500929, 386980.8526989203 579761.5681477073, 386334.5247622563 579762.6228200726, 386334.47446868615 579731.8885671742, 386180.4230980573 579732.1408212123, 386180.4734598199 579762.875087334, 386149.87465482927 579762.9252351933, 386149.8242795218 579732.1909664428, 386119.01388397306 579732.2414720259, 386119.0642729191 579762.9757434237, 385903.392301003 579763.3296825987, 385903.34181658714 579732.5953926479, 385872.742974337 579732.6456599878, 385872.7934722978 579763.3799525737, 385749.55227641313 579763.5825586439, 385749.5017238981 579732.8482554378, 385595.66145398613 579733.1014592715, 385595.71207460057 579763.8357757508, 385411.0613632152 579764.1401561594, 385411.01066086243 579733.4058237252, 385226.04268649034 579733.7112031719, 385226.0934707219 579764.4455516144, 385195.2831197342 579764.4964696093, 385195.3339204729 579795.2309315279, 385133.92481256684 579795.3324639696, 385133.8739846429 579764.5979967291, 385103.0636256498 579764.6489556484, 385103.0127869571 579733.9145965438, 384948.96066195914 579734.1695832334, 384948.90975758113 579703.4351004635, 384825.87948569824 579703.638974491, 384825.82852955593 579672.9044813156, 384487.178018949 579673.4667563892, 384487.12691543065 579642.7321234364, 384117.8236964045 579643.3471418862, 384117.721522779 579582.0889771677, 383994.3737671466 579582.2948098301, 383994.4247309082 579612.8184308703, 383932.8035640185 579612.9213466784, 383932.75257317326 579582.397720279, 383624.8583497021 579582.9127377197, 383624.80687291984 579552.1781406598, 383224.69174870115 579552.8494201597, 383224.64009740006 579522.114677612, 382947.5556372154 579522.5808723579, 382947.503866225 579491.8462161949, 382639.5025207466 579492.3656979721, 382639.4506164008 579461.6311253792, 382485.6083729955 579461.8910965874, 382485.5564031418 579431.1564000536, 382454.7457723083 579431.2085037585, 382454.69379119854 579400.4735836538, 382331.45063179266 579400.6821251272, 382331.50266742834 579431.4170561705, 382177.6603300175 579431.677695423, 382177.60822631785 579400.942750709, 381931.3859999473 579401.3605863672, 381931.3337906379 579370.6259516708, 381592.62588345486 579371.2021291904, 381592.5735268827 579340.4673539641, 381469.54141809884 579340.6770420437, 381469.48936956224 579310.1532014711, 381407.86770401103 579310.2583018446, 381407.8152712815 579279.5235106286, 381223.1612619397 579279.8387623538, 381223.1087501213 579249.1038443166, 380699.6392172229 579250.0001599826, 380699.58647684776 579219.265305745, 380484.12090832624 579219.6353643464, 380484.17374399974 579250.3702380008, 380422.55162479565 579250.4762014031, 380422.4987618673 579219.7413221892, 380360.87682594056 579219.847334294, 380360.8239385562 579189.1124497553, 380330.0128973517 579189.1654736121, 380329.9599993305 579158.4306971303, 379929.89139468153 579159.1203932407, 379929.83832196874 579128.3852491628, 379806.805233514 579128.5978029976, 379806.7519276682 579097.7576170524, 379714.318632964 579097.9174409569, 379714.2654709865 579067.1824989596, 379621.7263753845 579067.3426204169, 379621.6737227995 579036.9239794936, 379036.6833887983 579037.9389917995, 379036.6299328626 579007.2039886459, 378790.562625895 579007.6323858773, 378790.5090638076 578976.8972499482, 378574.8300477726 578977.2734380213, 378574.77620943624 578946.4330301617, 378544.1763670694 578946.486453854, 378544.12270159833 578915.7511853278, 378236.22041826975 578916.2894669577, 378236.1666201139 578885.5545021285, 378020.3812252735 578885.9325353075, 378020.3273343912 578855.1974403416, 377497.22001403314 578856.1165988045, 377497.1658949865 578825.3815663684, 377250.88544078387 578825.8156478939, 377250.83177340816 578795.3966832682, 377096.77422864595 578795.668646383, 377096.71975187206 578764.8279928191, 377004.49662181304 578764.9909520855, 377004.230932043 578734.2561378562, 376850.3844977675 578734.5282442964, 376850.33010441985 578703.7931529861, 376797.4270754076 578703.8867956167, 376136.7567779843 584412.1960243623, 375619.48942284926 588170.7655836121, 374973.13271871104 592966.220857445, 374455.7234275475 596724.7311661456, 370237.78545423213 602490.7020590676, 370288.52034931607 602498.5644506873, 388939.8086726441 605395.2805589783, 389231.9700593543 605410.1869155193, 389515.88177045115 605324.6810085953, 389827.79912455316 605211.2951439482, 390199.7226438063 605093.5944747808, 390787.0786933821 604798.9911645419, 391419.0167130543 604595.9443785687, 391906.3971972896 604329.825028366, 392169.6002466511 604044.6197060472, 392564.614988534 603662.5725069208, 392904.33104109816 603549.1586818957, 393207.28250485694 603239.6451932653, 393374.93050518143 603038.8411151653, 393749.77751485026 602657.0465823502, 393976.86031975824 602355.5135941426, 394175.7893942591 602038.7909913912, 394362.8349593124 601705.8512686152, 394577.28316812444 601260.8459508044, 394620.05035358504 600976.2129191833, 395163.41465217725 600641.8210562657, 395998.51258616487 600169.760011134, 396310.54640024895 600128.4741733375, 396606.70772984717 600054.9518956149, 396850.7917109921 599990.1565554342, 397146.48784155684 599836.6667122515, 397550.74852203357 599818.9156013575, 398074.82647302566 599764.5051976377, 398087.1214738682 595721.8261245092, 396645.07927771925 592628.1860495524, 396825.00557414227 588221.9789392671, 397996.997432718 587940.7212212577, 398988.43691368046 587190.7358338353, 399258.7880819415 586628.1742739243, 400791.2782287321 586721.8850504439, 402143.17199165135 586534.3321934899, 403224.94830468844 586159.3620148192, 404396.80441759166 585596.8824208123, 405298.1238335122 585221.9366336003, 410165.4598648227 584378.1429822426, 408993.6902242765 582784.3208601293, 408903.51268494176 582221.709714268, 409354.4776999097 581659.2838922264, 409444.4766772585 580815.5731697774, 409174.24337667995 580440.4926131291, 406469.9047750438 580815.5687160051, 405292.1515379132 577860.9018373238)))",622.3161105670029,864,1.388361935886241
Anyama,"MULTIPOLYGON (((398074.82647302566 599764.5051976377, 397550.74852203357 599818.9156013575, 397146.48784155684 599836.6667122515, 396850.7917109921 599990.1565554342, 396606.70772984717 600054.9518956149, 396310.54640024895 600128.4741733375, 395998.51258616487 600169.760011134, 395163.41465217725 600641.8210562657, 394620.05035358504 600976.2129191833, 394577.28316812444 601260.8459508044, 394362.8349593124 601705.8512686152, 394175.7893942591 602038.7909913912, 393976.86031975824 602355.5135941426, 393749.77751485026 602657.0465823502, 393374.93050518143 603038.8411151653, 393207.28250485694 603239.6451932653, 392904.33104109816 603549.1586818957, 392564.614988534 603662.5725069208, 392169.6002466511 604044.6197060472, 391906.3971972896 604329.825028366, 391419.0167130543 604595.9443785687, 390787.0786933821 604798.9911645419, 390199.7226438063 605093.5944747808, 389827.79912455316 605211.2951439482, 389515.88177045115 605324.6810085953, 389231.9700593543 605410.1869155193, 388939.8086726441 605395.2805589783, 370288.52034931607 602498.5644506873, 366780.42639489705 607554.5881322776, 365004.5865043652 615426.7985176828, 364698.1591519161 619728.485097552, 364787.3496115435 619768.3152798217, 380058.1691784174 618812.6222480423, 390879.45141491125 619665.310359876, 390976.0886663543 619828.9947734948, 391389.90439235896 620163.374846172, 391755.5892163283 620538.0078549724, 392153.1617461032 620828.3465867355, 392694.6687698433 621162.0987438572, 393135.73820440087 621316.3593329563, 393581.10217608354 621514.4233538248, 394086.03674114984 621712.3398765903, 394542.7911077554 621774.0642262783, 395099.3828851822 621783.8089064728, 395443.68586083106 621758.2639727417, 395651.843700434 621721.4478229719, 395836.32804403914 621840.5547768881, 396216.2086323159 622791.3815468788, 396381.2726490666 623086.7009905924, 396508.6929635661 622846.0544432242, 396512.28297077544 622729.966037097, 396615.8224395921 622581.5600046237, 396598.94111454877 622345.5205900748, 396550.3209965506 622209.7466155441, 396505.617222822 622029.7368804904, 396441.0855911663 621917.9219877243, 396512.65051061485 621721.5949286422, 396527.6552020397 621477.3332885972, 396630.877138136 621260.7125949841, 396917.77820804575 620939.3150378547, 396989.5981498157 620835.084937974, 396553.7567394737 619928.414917154, 396532.9076339172 619704.4537602679, 396556.05374744534 619480.475283025, 396209.5396910182 618905.7802403389, 396237.1172438795 618761.5555227456, 396292.6649972522 618653.1335368255, 396472.14254561963 618476.1932231113, 396699.22038242227 618206.9763224471, 396830.91973790445 618058.3695932337, 396870.298634905 617894.2523746723, 397085.9505710589 617745.3552182876, 397193.4634499184 617580.8671338508, 397240.994612193 617444.4666219435, 397368.30138631456 617187.6934341688, 397463.8101098209 617063.1842296191, 397647.257906114 616870.2693904976, 397786.5936098545 616653.5959632555, 397805.95685369463 616505.4317276377, 397913.6054024099 616340.7346078136, 397960.62798496644 616096.5828699556, 397822.44396980916 615564.7819589614, 397809.73805607285 615376.86673654, 397889.05124893173 615228.6089426744, 398416.71304082463 614925.9851085915, 398600.86044222914 614957.065967237, 398797.64386546344 615064.4613266446, 398973.9519326719 615115.7984718152, 399194.1870326731 615138.7068158011, 399405.8579349005 615053.665642373, 399525.59779134276 614985.1611792739, 399633.5202593501 614856.7892177029, 399740.7267892444 614639.9077928398, 400000.0783680891 614370.8684804741, 400195.91306290735 614289.9665802792, 400375.7601832233 614184.8928776028, 400543.51056736696 614148.3693969102, 400687.2309429301 614043.614975093, 400762.69035063876 613839.1725022133, 400845.9090354682 613630.8700919815, 400905.6324369069 613498.2511464955, 401148.81573580654 613237.0444071459, 401260.44052894466 613072.6127942381, 401375.35716486047 612796.0491703287, 402506.6697737886 611310.2990808993, 402709.02125352627 610841.3545697088, 402844.56444226945 610664.7145193734, 403020.83751885185 610687.9134968168, 403244.6607111603 610574.6671493214, 403440.34000590397 610449.918041787, 403499.96685986605 610317.6193202685, 403571.5752422352 610197.0062297742, 403530.859628485 610005.1273213276, 403562.14012484654 609813.090462754, 403517.41878305597 609609.250787904, 403512.57176821306 609400.8720290882, 403547.559465554 609160.7004060575, 403594.9248105384 608968.3765484765, 403626.1480768811 608736.2760824095, 403809.2817454436 608443.2785950185, 403909.65576704766 608522.94439334, 403994.11768075486 608630.730997076, 404158.7277450619 608785.9510664651, 404271.1937976584 608881.5199203269, 404515.6747920614 608948.484354793, 404631.6114472528 608923.9097007775, 404807.36886708916 608806.8910946954, 405107.76204205974 608781.7883889028, 405299.99049711623 608804.9712104861, 405424.1640297966 608796.1481665899, 405596.53494366916 608951.6764174801, 405745.06514219113 608946.931053717, 405905.1598556187 608958.3003924727, 406157.324993953 608989.1494694935, 406269.4287020118 608980.714024758, 406473.3327371212 608875.5741622997, 406648.8333753442 608743.1158585426, 406668.31930859934 608570.7616442665, 406779.6169505056 608402.2315095002, 406862.10438421625 607973.8027268554, 407013.6333998496 607808.8014508032, 407069.2707090597 607668.3948594795, 407108.5226120248 607464.1733201479, 407079.4863363956 607212.2345066085, 407210.97206626047 607047.7893811921, 407334.5321203089 606919.149359952, 407662.5940048554 606785.6910861307, 407822.2657636378 606660.6920670837, 407925.80876950745 606552.1657732078, 408009.2167311466 606379.7240569156, 408205.7816484195 605370.6407337994, 408196.7799631907 605106.3393032145, 408231.8163171634 604886.0994701817, 408303.27420209034 604721.898736608, 408585.729034356 604296.2572653703, 408601.1640382887 604072.2493718367, 408544.6682414177 603996.4698616778, 408528.02948871756 603824.3775731113, 408403.37180501345 603640.9419265555, 408370.56265594566 603465.0767018265, 408197.79440669226 603273.6417343558, 407916.4002378233 603034.8606810357, 407991.9703493614 602882.3039444601, 408035.82721913455 602794.0512034267, 408127.21310595487 602617.5932196717, 408138.3820500417 602441.6671975919, 408173.67623739457 602253.3729135655, 408144.36297687166 601873.2313127548, 408184.07750599214 601749.0327786251, 408403.5856635256 601619.94876742, 408615.62119589525 601530.9919892017, 408654.9660806232 601386.7626977535, 408860.61668251775 600661.5976617951, 409241.31998744805 600851.8038730341, 409401.3510279156 600803.2478421205, 409549.52183228254 600754.391727406, 409853.0522078539 600561.2041843303, 409868.4797385852 600424.862739959, 409856.2904060929 600337.0034046762, 409819.71271838935 600164.9381559882, 410170.47297176626 599831.3621925062, 410057.48349375697 599603.7851246481, 409897.0714585297 599528.3544460937, 409772.5407676752 599441.0674680411, 409808.1497201208 599304.7517003714, 409799.33321599214 599092.7968932324, 409806.19884228485 598756.5191918928, 409673.8111055675 598681.0509154558, 409505.1438017201 598577.6929299805, 409440.5765662106 598433.9735457082, 409448.3138714668 598333.9100515246, 409391.47977944446 598165.9314021248, 409318.7372194397 597954.1150767404, 409173.781237335 597766.8034059106, 408686.49848737015 597028.5559191441, 408714.3519679367 596900.2625735577, 408669.7747189852 596792.4678743307, 408689.21736148174 596656.3314675654, 408644.5802084436 596504.4673011568, 408583.9661347179 596336.7573298645, 408479.2904952179 596188.9807896218, 408262.08070075815 596001.8736296657, 408173.3890529877 595798.3559735405, 408205.1471802969 595686.0295649741, 408584.55004639475 595460.2115477972, 408604.3810671922 595376.2624373803, 408579.38955074624 595160.1647677121, 408616.8583618549 594443.7173772346, 407547.0706429882 595324.5101907115, 406888.7893458562 595951.8281126826, 406310.31314731756 596514.7836495378, 405963.37687031255 596884.3789533954, 405513.0274730759 597386.7008588354, 404997.9800188944 597805.0894055023, 404666.4879409072 598046.7840644218, 404239.1568488391 598284.3999281896, 403799.628435482 598598.7901006135, 403320.1586087423 598780.8723659408, 402808.0604067611 598939.3889900581, 402264.28597925854 599093.8440628202, 401619.99506084394 599152.7190757388, 400687.34381142753 599240.756052915, 400027.2117628893 599375.8450736359, 399303.1021773643 599475.0843388522, 399007.1712947814 599616.3864901273, 398507.0589905085 599710.659361491, 398074.82647302566 599764.5051976377)))",647.4112345723341,8,0.012356906356876286
Bingerville,"MULTIPOLYGON (((410165.4598648227 584378.1429822426, 405298.1238335122 585221.9366336003, 404396.80441759166 585596.8824208123, 403224.94830468844 586159.3620148192, 402143.17199165135 586534.3321934899, 400791.2782287321 586721.8850504439, 399258.7880819415 586628.1742739243, 398988.43691368046 587190.7358338353, 397996.997432718 587940.7212212577, 396825.00557414227 588221.9789392671, 396645.07927771925 592628.1860495524, 398087.1214738682 595721.8261245092, 398074.82647302566 599764.5051976377, 398507.0589905085 599710.659361491, 399007.1712947814 599616.3864901273, 399303.1021773643 599475.0843388522, 400027.2117628893 599375.8450736359, 400687.34381142753 599240.756052915, 401619.99506084394 599152.7190757388, 402264.28597925854 599093.8440628202, 402808.0604067611 598939.3889900581, 403320.1586087423 598780.8723659408, 403799.628435482 598598.7901006135, 404239.1568488391 598284.3999281896, 404666.4879409072 598046.7840644218, 404997.9800188944 597805.0894055023, 405513.0274730759 597386.7008588354, 405963.37687031255 596884.3789533954, 406310.31314731756 596514.7836495378, 406888.7893458562 595951.8281126826, 407547.0706429882 595324.5101907115, 408616.8583618549 594443.7173772346, 408699.86329502566 594211.0271691621, 408999.29193576943 593989.748672089, 409406.8840592415 593795.9500711458, 409854.573396204 593577.9045806344, 410442.4175440854 593366.9522810166, 410858.1313583329 593197.0326491455, 411453.8696244426 592978.5940294565, 412396.58652238845 592482.3293390245, 412716.37193122355 592320.6116656121, 413239.97935966175 592022.157586775, 413695.16200470505 591676.0885844206, 413862.31052331557 591471.0289680469, 414117.82602290844 591201.9687720475, 414376.7521420019 590912.5577681656, 414564.1691377034 590687.9179006848, 414982.82514096866 590273.5882231335, 415314.3988359804 590040.1266883324, 415642.264039434 589946.7327845265, 416101.986019183 589748.4357509926, 416473.47164975735 589526.9503673469, 416676.9508571936 589293.7061953973, 416775.928205831 589045.1445110154, 417035.9277019635 587903.414044251, 417118.5914110518 587618.8697877554, 417270.0754754615 587354.3792807484, 417421.401715872 587133.5365396814, 417536.8066582628 586984.9555371952, 417920.51014455536 586779.1752816942, 418387.9382224643 586528.912598685, 418795.6153085505 586351.1002949481, 418880.9257417644 586330.757351618, 419343.76892456424 586220.6734228905, 420015.22178995004 585794.0680281379, 412689.4949183637 582878.0222015452, 410165.4598648227 584378.1429822426)))",207.13880114143063,23,0.11103665693370512
