id_osm,nom,latitude,longitude,type,operator,capacity,levels,source
3129140252,EPP Siporex 8 C-D,5.3454785,-4.0697135,school,Inconnu,,,OpenStreetMap
3129543106,École Multinationale Supérieure des Postes d'Abidjan,5.2900911,-3.9985493,college,Inconnu,,,OpenStreetMap
3131207797,EPP,5.3543644,-4.0304705,school,Inconnu,,,OpenStreetMap
3132904625,Groupe Intellect Afrique,5.3416749,-4.0150885,school,Inconnu,,,OpenStreetMap
3132905361,Africa Consulting Formation,5.3772571,-3.9632717,college,Inconnu,,,OpenStreetMap
3132905788,Groupe Scolaire Hélène Hoba,5.3782682,-3.963828,school,Inconnu,,,OpenStreetMap
3142632200,Institut Supérieur Sainte-Sophia,5.3677385,-3.9596035,college,Inconnu,,,OpenStreetMap
3143709992,Centre De Bureautique De Communication Et De Gestion De Cocody,5.3500659,-4.0113233,college,Inconnu,,,OpenStreetMap
3143709993,Cidfor,5.3504736,-4.0106804,school,Inconnu,,,OpenStreetMap
3143709994,Centre de Promotion des Nouvelles Technologies de L'information et de la Communication,5.3490019,-4.0103815,college,Inconnu,,,OpenStreetMap
3145395507,Collège Thanon Namako,5.3764451,-3.9925831,school,Groupe Scolaire Thanon Namako,,,OpenStreetMap
3157662884,Notre-Dame de la Paix,5.3035364,-4.0031127,school,Inconnu,,,OpenStreetMap
3170439282,Centre internationnal de formation routiere,5.3947159,-3.991119,school,Inconnu,,,OpenStreetMap
3170439284,Sainte Famille de l'enfant Jesus,5.3944809,-3.9894641,school,Inconnu,,,OpenStreetMap
3170460529,Groupe EIT NTIC,5.3909031,-3.9844709,school,Inconnu,,,OpenStreetMap
3170471414,Groupe Scolaire Internationnal les Cygnes,5.3927847,-3.9869667,school,Inconnu,,,OpenStreetMap
3174960706,Eurof,5.2901647,-3.9772583,school,Inconnu,,,OpenStreetMap
3175182789,Collège Segbe,5.3260655,-4.0493028,school,Inconnu,,,OpenStreetMap
3177106071,École Dpmmi,5.3596349,-4.0267931,college,Inconnu,,,OpenStreetMap
3177106072,Les Alouettes,5.3585614,-4.0262392,college,Privé,,,OpenStreetMap
